DayofMonth,IATA_Code_Marketing_Airline,Operating_Airline ,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,CRSDepTime,DepTime,DepDelay,DepTimeBlk,TaxiOut,WheelsOff,WheelsOn,TaxiIn,ArrTime,ArrDelay,ArrTimeBlk,Cancelled,CancellationCode,Diverted,CRSElapsedTime,ActualElapsedTime,AirTime,Flights,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Div1Airport
1,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,1750,1746,-4,1700-1759,24,1810,2113,7,2120,-17,2100-2159,0,,0,167,154,123,1,1005,,,,,,
1,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,2045,2043,-2,2000-2059,10,2053,2210,7,2217,-30,2200-2259,0,,0,182,154,137,1,1005,,,,,,
1,UA,UA,ORD,IL,Illinois,MIA,FL,Florida,1942,1940,-2,1900-1959,22,2002,2329,7,2336,-16,2300-2359,0,,0,190,176,147,1,1197,,,,,,
1,UA,UA,ORD,IL,Illinois,MCO,FL,Florida,1938,1936,-2,1900-1959,21,1957,2256,5,2301,-29,2300-2359,0,,0,172,145,119,1,1005,,,,,,
1,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,745,744,-1,0700-0759,12,756,926,8,934,-13,0900-0959,0,,0,182,170,150,1,1005,,,,,,
1,UA,UA,ATL,GA,Georgia,DEN,CO,Colorado,832,825,-7,0800-0859,20,845,940,14,954,-14,1000-1059,0,,0,216,209,175,1,1199,,,,,,
1,UA,UA,MIA,FL,Florida,ORD,IL,Illinois,1117,1107,-10,1100-1159,25,1132,1324,14,1338,-3,1300-1359,0,,0,204,211,172,1,1197,,,,,,
1,UA,UA,MIA,FL,Florida,ORD,IL,Illinois,1227,1221,-6,1200-1259,26,1247,1433,9,1442,-7,1400-1459,0,,0,202,201,166,1,1197,,,,,,
1,UA,UA,ATL,GA,Georgia,DEN,CO,Colorado,1625,1624,-1,1600-1659,13,1637,1729,8,1737,-13,1700-1759,0,,0,205,193,172,1,1199,,,,,,
1,UA,UA,MIA,FL,Florida,ORD,IL,Illinois,1614,1603,-11,1600-1659,17,1620,1811,21,1832,-10,1800-1859,0,,0,208,209,171,1,1197,,,,,,
1,UA,UA,MCO,FL,Florida,ORD,IL,Illinois,1825,1816,-9,1800-1859,26,1842,2009,8,2017,-8,2000-2059,0,,0,180,181,147,1,1005,,,,,,
