,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
527938,21,7,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,-3.0,0.0,1000-1059,-17.0,0.0,1300-1359,0.0,641.0
467884,19,5,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,0.0,0.0,1400-1459,-12.0,0.0,1800-1859,0.0,936.0
161913,22,1,DL,DL,ATL,GA,Georgia,ORD,IL,Illinois,-3.0,0.0,1200-1259,-16.0,0.0,1300-1359,0.0,606.0
257051,17,3,AA,MQ,ORD,IL,Illinois,ATL,GA,Georgia,134.0,134.0,0800-0859,128.0,128.0,1100-1159,0.0,606.0
423310,4,4,UA,UA,ORD,IL,Illinois,DFW,TX,Texas,-5.0,0.0,1900-1959,-12.0,0.0,2200-2259,0.0,802.0
156654,27,6,DL,DL,ATL,GA,Georgia,DEN,CO,Colorado,-4.0,0.0,1300-1359,-29.0,0.0,1400-1459,0.0,1199.0
456376,7,7,AA,AA,DFW,TX,Texas,ORD,IL,Illinois,-3.0,0.0,0800-0859,-19.0,0.0,1000-1059,0.0,802.0
468098,21,7,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,19.0,19.0,2000-2059,2.0,2.0,0001-0559,0.0,936.0
515904,22,1,AA,AA,ATL,GA,Georgia,DFW,TX,Texas,-2.0,0.0,1200-1259,-24.0,0.0,1300-1359,0.0,731.0
466891,28,7,AA,AA,CLT,NC,North Carolina,DFW,TX,Texas,14.0,14.0,1300-1359,6.0,6.0,1500-1559,0.0,936.0
517425,3,3,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,-3.0,0.0,0700-0759,16.0,16.0,0900-0959,0.0,1337.0
426741,3,3,UA,UA,ORD,IL,Illinois,ATL,GA,Georgia,-6.0,0.0,1800-1859,-29.0,0.0,2100-2159,0.0,606.0
467008,8,1,AA,AA,DFW,TX,Texas,CLT,NC,North Carolina,110.0,110.0,1300-1359,90.0,90.0,1600-1659,0.0,936.0
375552,17,3,UA,UA,ORD,IL,Illinois,ATL,GA,Georgia,-5.0,0.0,1700-1759,-23.0,0.0,2100-2159,0.0,606.0
458552,6,6,AA,AA,DEN,CO,Colorado,DFW,TX,Texas,4.0,4.0,1200-1259,-11.0,0.0,1500-1559,0.0,641.0
529586,14,7,AA,AA,CLT,NC,North Carolina,DEN,CO,Colorado,-2.0,0.0,2000-2059,-5.0,0.0,2200-2259,0.0,1337.0
