,DayofMonth,DayOfWeek,IATA_Code_Marketing_Airline,IATA_Code_Operating_Airline,Origin,OriginState,OriginStateName,Dest,DestState,DestStateName,DepDelay,DepDelayMinutes,DepTimeBlk,ArrDelay,ArrDelayMinutes,ArrTimeBlk,Cancelled,Distance
353645,26,5,DL,OO,SLC,UT,Utah,EKO,NV,Nevada,-7.0,0.0,2100-2159,-31.0,0.0,2100-2159,0.0,200.0
239144,19,5,G4,G4,SWF,NY,New York,MYR,SC,South Carolina,2.0,2.0,1800-1859,3.0,3.0,2000-2059,0.0,601.0
338926,21,7,UA,OO,SFO,CA,California,OTH,OR,Oregon,-6.0,0.0,1100-1159,16.0,16.0,1300-1359,0.0,412.0
451814,7,7,DL,9E,LGA,NY,New York,BGM,NY,New York,-10.0,0.0,2100-2159,-7.0,0.0,2200-2259,0.0,147.0
356478,30,2,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,-13.0,0.0,0600-0659,-24.0,0.0,0800-0859,0.0,200.0
377541,16,2,UA,UA,GUM,TT,U.S. Pacific Trust Territories and Possessions,SPN,TT,U.S. Pacific Trust Territories and Possessions,-11.0,0.0,0800-0859,-15.0,0.0,0800-0859,0.0,129.0
240754,17,3,G4,G4,SFB,FL,Florida,IAG,NY,New York,9.0,9.0,0800-0859,,,1100-1159,0.0,996.0
293684,18,4,NK,NK,LBE,PA,Pennsylvania,MCO,FL,Florida,97.0,97.0,1300-1359,85.0,85.0,1600-1659,0.0,823.0
452810,20,6,DL,9E,BGM,NY,New York,DTW,MI,Michigan,-11.0,0.0,0001-0559,-18.0,0.0,0700-0759,0.0,378.0
560742,31,3,AS,AS,ANC,AK,Alaska,BRW,AK,Alaska,296.0,296.0,1400-1459,292.0,292.0,1600-1659,0.0,725.0
452798,8,1,DL,9E,BGM,NY,New York,DTW,MI,Michigan,-3.0,0.0,0001-0559,-26.0,0.0,0700-0759,0.0,378.0
339751,27,6,UA,OO,DEN,CO,Colorado,CNY,UT,Utah,-8.0,0.0,1400-1459,-4.0,0.0,1500-1559,0.0,283.0
241456,6,6,G4,G4,SFB,FL,Florida,PSM,NH,New Hampshire,-8.0,0.0,1500-1559,-28.0,0.0,1800-1859,0.0,1144.0
393757,13,6,UA,UA,GUM,TT,U.S. Pacific Trust Territories and Possessions,SPN,TT,U.S. Pacific Trust Territories and Possessions,-2.0,0.0,0800-0859,-3.0,0.0,0800-0859,0.0,129.0
242959,15,1,G4,G4,PIE,FL,Florida,CKB,WV,West Virginia,-11.0,0.0,0700-0759,-21.0,0.0,0900-0959,0.0,798.0
241718,7,7,G4,G4,IAG,NY,New York,PGD,FL,Florida,-25.0,0.0,1900-1959,-29.0,0.0,2200-2259,0.0,1129.0
369922,31,3,UA,UA,GUM,TT,U.S. Pacific Trust Territories and Possessions,SPN,TT,U.S. Pacific Trust Territories and Possessions,-13.0,0.0,0800-0859,-19.0,0.0,0800-0859,0.0,129.0
293688,22,1,NK,NK,LBE,PA,Pennsylvania,MCO,FL,Florida,-11.0,0.0,1200-1259,-27.0,0.0,1500-1559,0.0,823.0
246838,11,4,G4,G4,HGR,MD,Maryland,PIE,FL,Florida,-11.0,0.0,1100-1159,-12.0,0.0,1400-1459,0.0,861.0
293670,4,4,NK,NK,LBE,PA,Pennsylvania,MCO,FL,Florida,23.0,23.0,1300-1359,21.0,21.0,1600-1659,0.0,823.0
363886,13,6,DL,OO,EKO,NV,Nevada,SLC,UT,Utah,-11.0,0.0,0600-0659,-15.0,0.0,0800-0859,0.0,200.0
323520,6,6,UA,OO,LBL,KS,Kansas,DDC,KS,Kansas,0.0,0.0,1700-1759,-11.0,0.0,1800-1859,0.0,74.0
243257,20,6,G4,G4,STC,MN,Minnesota,AZA,AZ,Arizona,-4.0,0.0,1200-1259,-16.0,0.0,1400-1459,0.0,1259.0
343728,1,1,UA,OO,SFO,CA,California,OTH,OR,Oregon,44.0,44.0,1100-1159,35.0,35.0,1200-1259,0.0,412.0
312402,16,2,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-5.0,0.0,1800-1859,-18.0,0.0,1900-1959,0.0,283.0
332625,13,6,UA,OO,DEN,CO,Colorado,CNY,UT,Utah,-10.0,0.0,1400-1459,-6.0,0.0,1500-1559,0.0,283.0
245578,29,1,G4,G4,PGD,FL,Florida,SWF,NY,New York,270.0,270.0,0700-0759,270.0,270.0,1000-1059,0.0,1101.0
562746,8,1,AS,QX,ANC,AK,Alaska,DLG,AK,Alaska,10.0,10.0,1000-1059,-1.0,0.0,1100-1159,0.0,329.0
453296,8,1,DL,9E,DTW,MI,Michigan,BGM,NY,New York,5.0,5.0,2100-2159,-14.0,0.0,2200-2259,0.0,378.0
326198,18,4,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-10.0,0.0,1800-1859,-14.0,0.0,1900-1959,0.0,283.0
563085,10,3,AS,QX,AKN,AK,Alaska,ANC,AK,Alaska,2.0,2.0,1700-1759,-5.0,0.0,1800-1859,0.0,288.0
245985,6,6,G4,G4,PGD,FL,Florida,STC,MN,Minnesota,-8.0,0.0,0800-0859,-5.0,0.0,1000-1059,0.0,1447.0
239547,2,2,G4,G4,PGD,FL,Florida,PSM,NH,New Hampshire,-6.0,0.0,0700-0759,-3.0,0.0,1000-1059,0.0,1279.0
246716,29,1,G4,G4,TOL,OH,Ohio,SFB,FL,Florida,-3.0,0.0,1900-1959,-22.0,0.0,2200-2259,0.0,895.0
349854,22,1,DL,OO,SLC,UT,Utah,EKO,NV,Nevada,-2.0,0.0,2100-2159,-12.0,0.0,2100-2159,0.0,200.0
293841,5,5,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,-6.0,0.0,0900-0959,-1.0,0.0,1100-1159,0.0,823.0
240983,21,7,G4,G4,IAG,NY,New York,PIE,FL,Florida,1.0,1.0,1100-1159,-32.0,0.0,1500-1559,0.0,1069.0
453303,15,1,DL,9E,DTW,MI,Michigan,BGM,NY,New York,8.0,8.0,2100-2159,-4.0,0.0,2200-2259,0.0,378.0
241027,4,4,G4,G4,SFB,FL,Florida,TOL,OH,Ohio,-13.0,0.0,1600-1659,-19.0,0.0,1800-1859,0.0,895.0
337158,29,1,UA,OO,SFO,CA,California,OTH,OR,Oregon,-10.0,0.0,1100-1159,-32.0,0.0,1300-1359,0.0,412.0
293672,6,6,NK,NK,LBE,PA,Pennsylvania,MCO,FL,Florida,241.0,241.0,1200-1259,229.0,229.0,1500-1559,0.0,823.0
453309,21,7,DL,9E,DTW,MI,Michigan,BGM,NY,New York,-1.0,0.0,2100-2159,-8.0,0.0,2200-2259,0.0,378.0
243887,19,5,G4,G4,PGD,FL,Florida,IAG,NY,New York,6.0,6.0,0700-0759,-4.0,0.0,1000-1059,0.0,1129.0
332103,5,5,UA,OO,CNY,UT,Utah,DEN,CO,Colorado,-19.0,0.0,1800-1859,-26.0,0.0,1900-1959,0.0,283.0
422932,5,5,UA,UA,SPN,TT,U.S. Pacific Trust Territories and Possessions,GUM,TT,U.S. Pacific Trust Territories and Possessions,-20.0,0.0,0900-0959,-26.0,0.0,1000-1059,0.0,129.0
243538,1,1,G4,G4,PIE,FL,Florida,IAG,NY,New York,-12.0,0.0,1700-1759,-13.0,0.0,1900-1959,0.0,1069.0
337932,22,1,UA,OO,DEN,CO,Colorado,CNY,UT,Utah,234.0,234.0,1400-1459,231.0,231.0,1500-1559,0.0,283.0
239617,22,1,G4,G4,PGD,FL,Florida,PSM,NH,New Hampshire,169.0,169.0,1400-1459,158.0,158.0,1700-1759,0.0,1279.0
241424,26,5,G4,G4,PGD,FL,Florida,PSM,NH,New Hampshire,-3.0,0.0,1400-1459,4.0,4.0,1700-1759,0.0,1279.0
293864,28,7,NK,NK,MCO,FL,Florida,LBE,PA,Pennsylvania,0.0,0.0,1000-1059,-14.0,0.0,1200-1259,0.0,823.0
242644,2,2,G4,G4,PSM,NH,New Hampshire,PGD,FL,Florida,10.0,10.0,1000-1059,-7.0,0.0,1400-1459,0.0,1279.0
239924,2,2,G4,G4,SWF,NY,New York,PGD,FL,Florida,5.0,5.0,0900-0959,-27.0,0.0,1200-1259,0.0,1101.0
557390,25,4,AS,AS,BRW,AK,Alaska,ANC,AK,Alaska,8.0,8.0,1700-1759,4.0,4.0,1900-1959,0.0,725.0
246054,2,2,G4,G4,TOL,OH,Ohio,SFB,FL,Florida,-3.0,0.0,2000-2059,-17.0,0.0,2200-2259,0.0,895.0
562562,7,7,AS,QX,DLG,AK,Alaska,ANC,AK,Alaska,198.0,198.0,1200-1259,200.0,200.0,1300-1359,0.0,329.0
239668,6,6,G4,G4,TOL,OH,Ohio,PGD,FL,Florida,37.0,37.0,2000-2059,44.0,44.0,2300-2359,0.0,1016.0
245396,12,5,G4,G4,PIE,FL,Florida,CKB,WV,West Virginia,-3.0,0.0,0700-0759,-23.0,0.0,0900-0959,0.0,798.0
